num_atoms,num_res,load,process,run,total,pdbid
1749,234,0.031060218811035156,0.004954338073730469,0.03525876998901367,0.0712733268737793,5y6d
6469,792,0.09938549995422363,0.007092714309692383,0.12148213386535645,0.22796034812927246,5kks
6790,898,0.12573695182800293,0.15135788917541504,0.12839388847351074,0.4054887294769287,3uco
5091,640,0.0797109603881836,0.2127821445465088,0.09338641166687012,0.3858795166015625,4uct
5878,772,0.09978604316711426,0.00658416748046875,0.10939693450927734,0.21576714515686035,4r36
1674,206,0.05064821243286133,0.19634103775024414,0.03565239906311035,0.2826416492462158,2q52
1003,131,0.018670320510864258,0.045130252838134766,0.03512930870056152,0.09892988204956055,4rw2
1185,152,0.021175146102905273,0.008375406265258789,0.03529477119445801,0.06484532356262207,3kks
524,26,0.013170242309570312,0.02440476417541504,0.03515791893005371,0.07273292541503906,1zpi
1596,205,0.02769756317138672,0.00220489501953125,0.03528094291687012,0.06518340110778809,4wyq
2643,314,0.04732537269592285,0.013812065124511719,0.0473780632019043,0.10851550102233887,5k3y
5988,733,0.10335397720336914,0.0072057247161865234,0.11119365692138672,0.22175335884094238,2uvp
1933,246,0.03382754325866699,0.2177591323852539,0.035332441329956055,0.28691911697387695,1ahc
3228,409,0.05435442924499512,0.02525615692138672,0.058344364166259766,0.1379549503326416,5vgr
6626,866,0.10533905029296875,0.007283210754394531,0.1246635913848877,0.23728585243225098,3wrx
5341,673,0.10031008720397949,0.03018045425415039,0.09895634651184082,0.2294468879699707,5fp9
1983,257,0.03514575958251953,0.18771600723266602,0.03585696220397949,0.25871872901916504,3ai8
3093,388,0.055539846420288086,0.025703907012939453,0.055786848068237305,0.13703060150146484,7cju
2026,246,0.035430192947387695,0.09041690826416016,0.03635382652282715,0.162200927734375,5doi
1949,257,0.03355741500854492,0.0025682449340820312,0.03556346893310547,0.07168912887573242,1fto
1604,206,0.029448509216308594,0.049302101135253906,0.03524017333984375,0.11399078369140625,4jmg
515,65,0.013728857040405273,0.04576873779296875,0.0351862907409668,0.09468388557434082,5xgg
4281,526,0.06898856163024902,0.004876136779785156,0.07823514938354492,0.1520998477935791,4fox
1550,197,0.027360916137695312,0.14806342124938965,0.03524279594421387,0.21066713333129883,6l01
4648,604,0.0715184211730957,0.005348682403564453,0.08511519432067871,0.16198229789733887,3eaj
5375,671,0.08270716667175293,0.11284732818603516,0.09937739372253418,0.29493188858032227,5lv0
3402,434,0.0550386905670166,0.17055082321166992,0.061667680740356445,0.28725719451904297,3q5m
2042,265,0.034455060958862305,0.10425996780395508,0.036710262298583984,0.17542529106140137,3jyi
4012,510,0.06588244438171387,0.01860785484313965,0.07302379608154297,0.15751409530639648,1wxf
3214,432,0.05316424369812012,0.1120595932006836,0.058020591735839844,0.22324442863464355,6p9i
963,118,0.018125057220458984,0.11201286315917969,0.03519010543823242,0.1653280258178711,1lsx
3378,448,0.060086965560913086,0.004022836685180664,0.06123971939086914,0.1253495216369629,1rhh
2888,377,0.0473790168762207,0.09142231941223145,0.05192208290100098,0.19072341918945312,6qug
3939,494,0.06408572196960449,0.004660606384277344,0.07183098793029785,0.1405773162841797,4mpv
2947,348,0.04710507392883301,0.0037446022033691406,0.05295991897583008,0.10380959510803223,5zmn
2221,294,0.03711843490600586,0.0824270248413086,0.04019880294799805,0.1597442626953125,3g9t
2686,340,0.0474858283996582,0.04335904121398926,0.04821276664733887,0.13905763626098633,5glm
3488,458,0.055242061614990234,0.004110813140869141,0.06308984756469727,0.12244272232055664,5cn2
3513,454,0.11556696891784668,0.028289318084716797,0.06359505653381348,0.20745134353637695,4u98
945,123,0.01966714859008789,0.12323379516601562,0.035414934158325195,0.1783158779144287,5i14
1700,217,0.033570289611816406,0.002259492874145508,0.03522753715515137,0.07105731964111328,2xp0
1714,214,0.030602693557739258,0.03540325164794922,0.03523898124694824,0.10124492645263672,4l2g
2600,340,0.04670262336730957,0.020685195922851562,0.04662513732910156,0.1140129566192627,1os9
3202,404,0.05135226249694824,0.05522418022155762,0.05785536766052246,0.16443181037902832,4i0a
7026,882,0.13440871238708496,0.0077745914459228516,0.13247942924499512,0.27466273307800293,3ked
7295,919,0.1162257194519043,0.1880481243133545,0.1382763385772705,0.4425501823425293,5gyy
3718,500,0.05748915672302246,0.25641870498657227,0.06788468360900879,0.3817925453186035,2e0w
2546,361,0.046971797943115234,0.10610556602478027,0.04587602615356445,0.19895339012145996,2cwg
6174,788,0.09236669540405273,0.014926910400390625,0.11582732200622559,0.22312092781066895,1bi7
2790,372,0.04631757736206055,0.21474575996398926,0.050257205963134766,0.31132054328918457,4otc
500,66,0.012932538986206055,0.09932303428649902,0.03530716896057129,0.14756274223327637,2ve8
1738,227,0.031063556671142578,0.0022706985473632812,0.035386085510253906,0.06872034072875977,3qu7
1733,216,0.03355288505554199,0.03439521789550781,0.035056352615356445,0.10300445556640625,3s8n
2064,261,0.07556438446044922,0.002955913543701172,0.040470123291015625,0.11899042129516602,6km0
7301,856,0.11469268798828125,0.007887125015258789,0.13874506950378418,0.2613248825073242,5l6l
5321,659,0.08011317253112793,0.006084918975830078,0.09816336631774902,0.18436145782470703,4v0j
2811,339,0.05055570602416992,0.17204570770263672,0.05063676834106445,0.2732381820678711,2p0w
